,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
3146,1732832857-3147,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Pelsterstraat 31-6
             
                9711 KH Groningen",https://www.funda.nl/detail/huur/groningen/appartement-pelsterstraat-31-6/43640525/,Pelsterstraat 31-6,Binnenstad-Zuid,71.0,2.0,1450.0,€ 1.450 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,,Bestaande bouw,2022.0,Gedeeltelijk gestoffeerd,,7.0,4.0,,185.0,3.0,1.0,Douche en wastafelmeubel,1.0,Mechanische ventilatie en zonnepanelen,A+++,Volledig geïsoleerd,Gehele vloerverwarming en warmtepomp,,,Ligging,,In centrum,Achtertuin,,,,Betaald parkeren en openbaar parkeren,9711 KH,Groningen,1450.0,1.0,142
3147,1732832860-3148,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Anna van Buerenplein 89
             
                2595 DB Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-anna-van-buerenplein-89/43640132/,Anna van Buerenplein 89,Rivierenbuurt-Noord,114.0,2.0,2750.0,€ 2.750 per maand (geen servicekosten),Onbepaalde tijd,2 maanden,Beschikbaar,Beschikbaar per direct beschikbaar,,Bestaande bouw,2012.0,Gemeubileerd,,9.0,,,511.0,3.0,1.0,"Douche, dubbele wastafel, en inloopdouche",1.0,,A,"Dubbel glas, HR-glas, vloerisolatie en volledig geïsoleerd",Stadsverwarming,Centrale voorziening en stadsverwarming,,Ligging,,Aan park en in centrum,,,,Balkon aanwezig,,2595 DB,Den Haag,2750.0,1.0,90
3148,1732832862-3149,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Laan van Roos en Doorn 37-F
             
                2514 BC Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-laan-van-roos-en-doorn-37-f/43641837/,Laan van Roos en Doorn 37-F,Willemspark,120.0,2.0,2750.0,€ 2.750 per maand (geen servicekosten),Onbepaalde tijd,2 maanden,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,1999.0,Gestoffeerd,,8.0,3.0,,336.0,4.0,,,1.0,,B,Dubbel glas,,Stadsverwarming,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Parkeergarage,2514 BC,Den Haag,2750.0,,90
3149,1732832864-3150,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Sisarijs- of Sarisgang 45
             
                3311 NE Dordrecht",https://www.funda.nl/detail/huur/dordrecht/appartement-sisarijs-of-sarisgang-45/43641142/,Sisarijs- of Sarisgang 45,Centrum,74.0,1.0,1475.0,€ 1.475 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Beschikbaar,In overleg,,Bestaande bouw,1968.0,,Zadeldak bedekt met pannen,4.0,,,251.0,2.0,1.0,,1.0,,B,,Cv-ketel,Cv-ketel,Intergas (eigendom),Ligging,,In centrum,,,,Balkon aanwezig,Betaald parkeren,3311 NE,Dordrecht,1475.0,1.0,106
3150,1732832867-3151,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Gaasterlandstraat 260
             
                1079 RH Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-gaasterlandstraat-260/43756355/,Gaasterlandstraat 260,Kop Zuidas,138.0,3.0,5900.0,€ 5.900 per maand (servicekosten onbekend),Tijdelijke verhuur,8 weken,Beschikbaar,,,Bestaande bouw,2018.0,Gemeubileerd,,101.0,5.0,,492.0,4.0,2.0,"2 inloopdouches, ligbad, toilet, en 2 wastafelmeubels",1.0,"Alarminstallatie, domotica, lift, mechanische ventilatie, natuurlijke ventilatie, en schuifpui",A,Dubbel glas en volledig geïsoleerd,Warmte terugwininstallatie,,,Ligging,,Aan rustige weg en in woonwijk,Zonneterras,,,,Betaald parkeren en parkeergarage,1079 RH,Amsterdam,5900.0,,17
3151,1732832869-3152,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Burgemeester Meineszlaan 22-A
             
                3022 BJ Rotterdam",https://www.funda.nl/detail/huur/rotterdam/appartement-burgemeester-meineszlaan-22-a/43758583/,Burgemeester Meineszlaan 22-A,Nieuwe Westen,127.0,3.0,2600.0,€ 2.600 per maand (geen servicekosten),Onbepaalde tijd,8 weken,Beschikbaar,In overleg,,Bestaande bouw,1909.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,8.0,,,451.0,5.0,1.0,"Douche, ligbad, en wastafel",2.0,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",Niet beschikbaar,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2022, eigendom)",Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",3022 BJ,Rotterdam,2600.0,2.0,342
3152,1732832872-3153,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Louise de Colignylaan 428
             
                3062 HN Rotterdam",https://www.funda.nl/detail/huur/rotterdam/appartement-louise-de-colignylaan-428/43754379/,Louise de Colignylaan 428,Kralingen Oost,83.0,1.0,1625.0,"€ 1.625 per maand (exclusief servicekosten à € 220,00 /mnd)",Onbepaalde tijd,7 weken,Beschikbaar,In overleg,,Bestaande bouw,1984.0,Gestoffeerd,Plat dak,,,,207.0,2.0,1.0,,1.0,"Lift, mechanische ventilatie, en natuurlijke ventilatie",B,Dubbel glas,Blokverwarming,Elektrische boiler (huur),,Ligging,,"Aan bosrand, aan rustige weg, in bosrijke omgeving en in woonwijk",,,,Balkon aanwezig,"Betaald parkeren, op afgesloten terrein, op eigen terrein en openbaar parkeren",3062 HN,Rotterdam,1625.0,1.0,342
3153,1732832874-3154,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=76,"Wirdumerdijk 29-a
             
                8911 CC Leeuwarden",https://www.funda.nl/detail/huur/leeuwarden/appartement-wirdumerdijk-29-a/43767827/,Wirdumerdijk 29-A,De Waag,157.0,2.0,1150.0,€ 1.150 per maand (geen servicekosten),Onbepaalde tijd,7 weken,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,1906.0,Monumentaal pand,Zadeldak bedekt met pannen,9.0,,,520.0,3.0,1.0,"Inloopdouche, ligbad, toilet, en wastafel",3.0,Glasvezelkabel en natuurlijke ventilatie,Niet beschikbaar,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Ligging,,In centrum,,,,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,8911 CC,Leeuwarden,1150.0,1.0,223
3154,1732832879-3155,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Keizersgracht 820-A
             
                1017 EE Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-keizersgracht-820-a/43767091/,Keizersgracht 820-A,Amstelveldbuurt,70.0,1.0,3995.0,€ 3.995 per maand (geen servicekosten),Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per direct beschikbaar,,Bestaande bouw,1672.0,"Gemeubileerd, monument en monumentaal pand",,,,,200.0,2.0,,,1.0,,Niet verplicht,HR-glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt uit 2023, eigendom",Ligging,,Aan rustige weg en aan water,Achtertuin,"21 m² (7,00 meter diep en 3,00 meter breed)",Gelegen op het zuiden,,Betaald parkeren en parkeervergunningen,1017 EE,Amsterdam,3995.0,,17
3155,1732832881-3156,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Haarlemmer Houttuinen 255-C
             
                1013 GM Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-haarlemmer-houttuinen-255-c/43767005/,Haarlemmer Houttuinen 255-C,Haarlemmerbuurt-West,100.0,3.0,3995.0,€ 3.995 per maand (geen servicekosten),Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per direct beschikbaar,,Bestaande bouw,1859.0,Gemeubileerd,,,,,290.0,4.0,,,2.0,,A,HR-glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,Gas gestookt uit 2019,Ligging,,Aan vaarwater en aan water,,,,,Betaald parkeren en parkeervergunningen,1013 GM,Amsterdam,3995.0,,17
3156,1732832884-3157,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Pieterskerk-Choorsteeg 15-C
             
                2311 TR Leiden",https://www.funda.nl/detail/huur/leiden/appartement-pieterskerk-choorsteeg-15-c/43768412/,Pieterskerk-Choorsteeg 15-C,Pieterswijk,105.0,2.0,2250.0,€ 2.250 per maand (servicekosten onbekend),Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per 01-12-2024,,Bestaande bouw,2019.0,"Beschermd stads- of dorpsgezicht, gestoffeerd en monument",,,,,300.0,3.0,2.0,"2 inloopdouches, 2 wastafels, 2 wastafelmeubels, en toilet",2.0,Balansventilatie en TV kabel,Niet verplicht,"Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,Gas gestookt combiketel uit 2019,Ligging,,Aan rustige weg en in centrum,Achtertuin,"100 m² (10,00 meter diep en 10,00 meter breed)",Gelegen op het westen bereikbaar via achterom,,,2311 TR,Leiden,2250.0,1.0,224
3157,1732832886-3158,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Lodewijk Napoleonlaan 2
             
                5616 BB Eindhoven",https://www.funda.nl/detail/huur/eindhoven/appartement-lodewijk-napoleonlaan-2/43769712/,Lodewijk Napoleonlaan 2,"Eliasterrein, Vonderkwartier",87.0,2.0,1360.0,"€ 1.360 per maand (exclusief servicekosten à € 55,00 /mnd)",Onbepaalde tijd,5 weken,Beschikbaar,Beschikbaar per 01-12-2024,,Bestaande bouw,2022.0,,Plat dak bedekt met bitumineuze dakbedekking,21.0,5.0,,271.0,3.0,1.0,Douche en dubbele wastafel,1.0,"Glasvezelkabel, lift, en TV kabel",A+++,Volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",,,Balkon/dakterras,,,,,,Dakterras aanwezig,Parkeergarage,5616 BB,Eindhoven,1360.0,1.0,118
3158,1732832888-3159,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Johannes Verhulststraat 157-H
             
                1075 GW Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-johannes-verhulststraat-157-h/43761756/,Johannes Verhulststraat 157-H,Valeriusbuurt-Oost,238.0,5.0,10000.0,€ 10.000 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Bestaande bouw,,,,87.0,,,928.0,7.0,2.0,"Dubbele wastafel, 2 inloopdouches, ligbad, 2 toiletten, en wastafelmeubel",3.0,Alarminstallatie en TV kabel,A,,Cv-ketel,Cv-ketel,,Ligging,,Aan rustige weg en in woonwijk,Achtertuin,"78 m² (13,00 meter diep en 6,00 meter breed)",Gelegen op het zuiden,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",1075 GW,Amsterdam,10000.0,2.0,17
3159,1732832891-3160,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Gevers Deynootweg 51-F
             
                2586 BE Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-gevers-deynootweg-51-f/43761353/,Gevers Deynootweg 51-F,Scheveningen Badplaats,114.0,3.0,2995.0,€ 2.995 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,1940.0,Beschermd stads- of dorpsgezicht en gestoffeerd,,5.0,3.0,,349.0,4.0,2.0,,2.0,"Airconditioning, dakraam, mechanische ventilatie, natuurlijke ventilatie, en TV kabel",A,"Dakisolatie, HR-glas en vloerisolatie",Cv-ketel,Cv-ketel,,Ligging,,Vrij uitzicht,,,,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",2586 BE,Den Haag,2995.0,1.0,90
3160,1732832905-3161,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Kolk 32
             
                2611 KD Delft",https://www.funda.nl/detail/huur/delft/appartement-kolk-32/43762853/,Kolk 32,Centrum-West,152.0,4.0,2500.0,€ 2.500 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,1750.0,Beschermd stads- of dorpsgezicht,,15.0,,,506.0,5.0,1.0,"Ligbad, toilet, en wastafel",2.0,,Niet beschikbaar,,Cv-ketel,Cv-ketel,"Combi (gas gestookt combiketel uit 2020, eigendom)",DELFT B 3361,,"Aan rustige weg, aan vaarwater, aan water en in centrum",,,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,2611 KD,Delft,2500.0,,87
3161,1732832908-3162,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 363)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763799/,Weverstede (Bouwnr. 363),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3162,1732832910-3163,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 361)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763791/,Weverstede (Bouwnr. 361),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3163,1732832912-3164,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 369)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763704/,Weverstede (Bouwnr. 369),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,179.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3164,1732832915-3165,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 365)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763707/,Weverstede (Bouwnr. 365),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3165,1732832917-3166,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 367)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763708/,Weverstede (Bouwnr. 367),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3166,1732832919-3167,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 399)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763702/,Weverstede (Bouwnr. 399),Stadscentrum,56.0,1.0,1150.0,€ 1.150 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1150.0,1.0,280
3167,1732832922-3168,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 397)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763716/,Weverstede (Bouwnr. 397),Stadscentrum,56.0,1.0,1150.0,€ 1.150 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1150.0,1.0,280
3168,1732832924-3169,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=75,"Weverstede (Bouwnr. 395)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763717/,Weverstede (Bouwnr. 395),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3169,1732832929-3170,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 431)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763719/,Weverstede (Bouwnr. 431),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3170,1732832931-3171,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 403)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763710/,Weverstede (Bouwnr. 403),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3171,1732832933-3172,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 401)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763711/,Weverstede (Bouwnr. 401),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3172,1732832936-3173,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 435)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763725/,Weverstede (Bouwnr. 435),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3173,1732832938-3174,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 433)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763726/,Weverstede (Bouwnr. 433),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3174,1732832940-3175,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 439)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763721/,Weverstede (Bouwnr. 439),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3175,1732832943-3176,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 467)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763722/,Weverstede (Bouwnr. 467),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3176,1732832945-3177,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 437)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763734/,Weverstede (Bouwnr. 437),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3177,1732832948-3178,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 473)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763735/,Weverstede (Bouwnr. 473),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3178,1732832950-3179,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 469)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763736/,Weverstede (Bouwnr. 469),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
3179,1732832952-3180,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=74,"Weverstede (Bouwnr. 471)
             
                3431 HZ Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-weverstede-0-ong/43763737/,Weverstede (Bouwnr. 471),Stadscentrum,56.0,1.0,1200.0,€ 1.200 per maand (servicekosten onbekend),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,,,,,,178.0,2.0,1.0,Douche en wastafel,1.0,Lift en mechanische ventilatie,Niet beschikbaar,Volledig geïsoleerd,Gehele vloerverwarming,Stadsverwarming,,Ligging,,In centrum,,,,,Parkeergarage,3431 HZ,Nieuwegein,1200.0,1.0,280
